Jersey	Jersey
Italy	Italy_Lombardy_Milan
Germany_Bavaria	Germany_Free State of Bavaria_Middle Franconia
Italy	Italy_Lombardy_Lecco
Belgium	Belgium_Antwerp
Italy	Italy_Emilia-Romagna_Piacenza
Italy	Italy_Emilia-Romagna_Ferrara
Belgium	Belgium_Limburg
Italy	Italy_Lombardy_Cremona
Italy	Italy_Lombardy_Mantua
France_Languedoc-Roussillon	France_Languedoc-Roussillon_Pyrenees-Orientales
France_Auvergne	France_Auvergne_Haute-Loire
Germany_Bavaria	Germany_Free State of Bavaria_Lower Franconia
Germany_Hesse	Germany_Hesse_Regierungsbezirk Darmstadt
Spain	Spain_Comunidad Foral de Navarra
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Karlsruhe
Germany_Bavaria	Germany_Free State of Bavaria_Swabia
Germany_Bavaria	Germany_Free State of Bavaria_Upper Palatinate
France_Pays de la Loire	France_Pays de la Loire_Loire-Atlantique
France_Nord-Pas-de-Calais	France_Nord-Pas-de-Calais_Nord
Germany_Bavaria	Germany_Free State of Bavaria_Lower Bavaria
Czech Republic	Czech_Jihozapad_Jihocesky kraj
France_Pays de la Loire	France_Pays de la Loire_Maine-et-Loire
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Munster
France_Centre	France_Centre-Val de Loire_Indre-et-Loire
Czech Republic	Czech_Karlovasky kraj
Canada_Newfoundland and Labrador	Canada_Labrador_West
Switzerland	Switzerland_Northwestern
France_Centre	France_Centre-Val de Loire_Cher
Switzerland	Switzerland_Eastern
France_Centre	France_Centre-Val de Loire_Loir-et-Cher
France_Centre	France_Centre-Val de Loire_Loiret
Switzerland	Switzerland_Lake Geneva region
France_Centre	France_Centre-Val de Loire_Indre
Italy	Italy_Tuscany_Massa e Carrara
Italy	Italy_Liguria
Italy	Italy_Emilia-Romagna_Modena
Italy	Italy_Emilia-Romagna_Reggio Emilia
Italy	Italy_Emilia-Romagna_Bologna
Italy	Italy_Emilia-Romagna_Ravenna
Italy	Italy_Emilia-Romagna_Forli-Cesena
Switzerland	Switzerland_Zurich
France_Rhone-Alpes	France_Rhone-Alpes_Loire
France_Bourgogne	France_Burgundy_Nievre
Switzerland	Switzerland_Central
France_Rhone-Alpes	France_Rhone-Alpes_Rhone
Switzerland	Switzerland_Ticino
Italy	Italy_Emilia-Romagna_Parma
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Oldenburg
Netherlands	Netherlands_Drenthe
Netherlands	Netherlands_Groningen
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Detmold
Germany_Thuringia	Germany_Thuringia
Ukraine	Ukraine_Zakarpattia Oblast
Ukraine	Ukraine_Ivano-Frankivsk Oblast
France_Pays de la Loire	France_Pays de la Loire_Mayenne
Switzerland	Switzerland_Espace Mittelland
France_Rhone-Alpes	France_Rhone-Alpes_Ain
Germany_Rhineland-Palatinate	Germany_Rhineland-Palatinate_South
France_Bourgogne	France_Burgundy_Saone-et-Loire
Austria	Austria_Lower Austria_West
France_Bretagne	France_Brittany_Ille-et-Vilaine
France_Auvergne	France_Auvergne_Cantal
France_Auvergne	France_Auvergne_Allier
France_Lorraine	France_Lorraine_Moselle
France_Midi-Pyrenees	France_Midi-Pyrenees_Lot
Italy	Italy_Piemont_Vercelli
France_Rhone-Alpes	France_Rhone-Alpes_Haute-Savoie
France_Midi-Pyrenees	France_Midi-Pyrenees_Aveyron
France_Alsace	France_Alsace_Bas-Rhin
France_Languedoc-Roussillon	France_Languedoc-Roussillon_Gard
Czech Republic	Czech_Jihovychod_Jihomoravsky kraj
France_Languedoc-Roussillon	France_Languedoc-Roussillon_Aude
France_Midi-Pyrenees	France_Midi-Pyrenees_Tarn-et-Garonne
France_Midi-Pyrenees	France_Midi-Pyrenees_Tarn
France_Aquitaine	France_Aquitaine_Landes
UK_England	UK_England_East of England_Essex
Canada_Newfoundland and Labrador	Canada_Labrador_North
UK_England	UK_England_Yorkshire and the Humber
Israel	Jerusalem
Palestine	Jerusalem
Canada_Ontario	Canada_Ontario_Northwestern
UK_England	UK_England_East Midlands
France_Pays de la Loire	France_Pays de la Loire_Sarthe
France_Poitou-Charentes	France_Poitou-Charentes_Vienne
France_Poitou-Charentes	France_Poitou-Charentes_Charente
France_Aquitaine	France_Aquitaine_Gironde
France_Aquitaine	France_Aquitaine_Dordogne
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Hautes-Alpes
France_Languedoc-Roussillon	France_Languedoc-Roussillon_Lozere
Spain	Spain_Catalonia_Provincia de Barcelona
Spain	Spain_Catalonia_Provincia de Tarragona
Russia_Volga	Russia_Orenburg Oblast
Russia_Urals	Russia_Chelyabinsk Oblast
France_Paris & Ile-de-France	France_Ile-de-France_Seine-Saint-Denis
Japan_Chubu	Japan_Chubu Region_Nagano
France_Paris & Ile-de-France	France_Ile-de-France_Val-dOise
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Maritime Alps
France_Alsace	France_Alsace_Haut-Rhin
France_Poitou-Charentes	France_Poitou-Charentes_Charente-Maritime
France_Haute-Normandie	France_Upper Normandy
France_Basse-Normandie	France_Lower Normandy_Orne
France_Picardie	France_Picardy_Oise
France_Paris & Ile-de-France	France_Ile-de-France_Yvelines
France_Centre	France_Centre-Val de Loire_Eure-et-Loir
Bosnia and Herzegovina	Bosnia and Herzegovina_Republic of Srpska
Japan_Chubu	Japan_Chubu Region_Niigata
Japan_Tohoku	Japan_Tohoku_Yamagata
Japan_Chubu	Japan_Chubu Region_Toyama
Saint Martin	Saint Martin
Guadeloupe	Guadeloupe
Martinique	Martinique
British Virgin Islands	British Virgin Islands
Saint Lucia	Saint Lucia
Montserrat	Montserrat
Saint Kitts and Nevis	Saint Kitts and Nevis
Dominica	Dominica
Japan_Tohoku	Japan_Tohoku_Fukushima
Japan_Tohoku	Japan_Tohoku_Akita
Argentina	Argentina_Patagonia
Japan_Tohoku	Japan_Tohoku_Miyagi
Canada_Nunavut	Canada_Nunavut_South
Wallis and Futuna	Wallis and Futuna
UK_Scotland	UK_Scotland_North
Bermuda	Bermuda
France_Nord-Pas-de-Calais	France_Nord-Pas-de-Calais_Lille
Japan_Chugoku	Japan_Chugoku Region_Okayama
Japan_Kyushu	Japan_Kyushu Region_Okinawa
Japan_Chugoku	Japan_Chugoku Region_Tottori
South Africa	South Africa_Western Cape
Japan_Kyushu	Japan_Kyushu Region_Oita
Netherlands	Netherlands_South Holland_Brielle
Japan_Chubu	Japan_Chubu Region_Aichi
Japan_Shikoku	Japan_Shikoku Region_Tokushima
Japan_Shikoku	Japan_Shikoku Region_Ehime
Gibraltar	Gibraltar
Mauritius	Mauritius
Colombia	Colombia_East
Spain	Spain_Canary Islands
Denmark	Denmark_Central Denmark Region
Saint Helena, Ascension and Tristan da Cunha	Saint Helena Ascension and Tristan da Cunha
Anguilla	Caribbees
Antigua and Barbuda	Caribbees
Netherlands Antilles	Caribbees
Saint Martin	Caribbees
Trinidad and Tobago	Caribbees
British Virgin Islands	Caribbees
Dominica	Caribbees
Guadeloupe	Caribbees
Montserrat	Caribbees
Saint Barthelemy	Caribbees
Saint Kitts and Nevis	Caribbees
Martinique	Caribbees
United States Virgin Islands	Caribbees
Barbados	Caribbees
Saint Lucia	Caribbees
Grenada	Caribbees
Saint Vincent and the Grenadines	Caribbees
Poland	Poland_Subcarpathian Voivodeship
Ukraine	Ukraine_Khmelnytskyi Oblast
Canada_Manitoba	Canada_Manitoba_Winnipeg
United States Virgin Islands	United States Virgin Islands
Antigua and Barbuda	Antigua and Barbuda
Grenada	Grenada
Saint Vincent and the Grenadines	Saint Vincent and the Grenadines
Barbados	Barbados
Czech Republic	Czech_Zlinsky Kraj
Czech Republic	Czech_Ustecky kraj
France_Paris & Ile-de-France	France_Ile-de-France_Paris
France_Paris & Ile-de-France	France_Ile-de-France_Hauts-de-Seine
France_Paris & Ile-de-France	France_Ile-de-France_Val-de-Marne
France_Lorraine	France_Lorraine_Meurthe-et-Moselle
France_Rhone-Alpes	France_Rhone-Alpes_Savoie
Denmark	Denmark_Region Zealand
Denmark	Denmark_North Denmark Region
India	India_Goa
Trinidad and Tobago	Trinidad and Tobago
India	India_Sikkim
Anguilla	Anguilla
Saint Barthelemy	Saint Barthelemy
Japan_Kanto	Japan_Kanto_Gunma
Netherlands Antilles	Caribisch Nederland
Curacao	Caribisch Nederland
Aruba	Caribisch Nederland
French Polynesia	French Polynesia
Netherlands	Netherlands_Utrecht_Utrecht
Taiwan	Taiwan
Comoros	Comoros
Netherlands	Netherlands_Limburg
Japan_Kanto	Japan_Kanto_Tochigi
Madagascar	Madagascar
Spain	Spain_Balearic Islands
Japan_Kanto	Japan_Kanto_Ibaraki
Maldives	Maldives
Germany_Saxony	Germany_Saxony_Leipzig
India	India_Andaman and Nicobar Islands
Cape Verde	Cape Verde
Slovakia	Slovakia_Region of Zilina
Russia_Siberian	Russia_Irkutsk Oblast
Guyana	Guyana
Germany_Saxony-Anhalt	Germany_Saxony-Anhalt
Ukraine	Ukraine_Lviv Oblast
Spain	Spain_Ceuta
Japan_Shikoku	Japan_Shikoku Region_Kochi
Japan_Shikoku	Japan_Shikoku Region_Kagawa
Spain	Spain_Melilla
Reunion	France_Southern Islands
French Southern Territories	France_Southern Islands
Heard Island and McDonald Islands	France_Southern Islands
Mayotte	France_Southern Islands
Cyprus	Cyprus
Ukraine	Ukraine_Kirovohrad Oblast
British Indian Ocean Territory	British Indian Ocean Territory
Czech Republic	Czech_Olomoucky kraj
Cuba	Cuba
Puerto Rico	US_Puerto Rico
India	India_Lakshadweep
Andorra	Andorra
UK_England	UK_England_South East_Brighton
Cayman Islands	Cayman Islands
Cook Islands	Cook Islands
Slovakia	Slovakia_Region of Banska Bystrica
Slovakia	Slovakia_Region of Nitra
Austria	Austria_Vorarlberg
Brunei	Brunei
Marshall Islands	Marshall Islands
Austria	Austria_Tyrol
Tonga	Tonga
Slovakia	Slovakia_Region of Trnava
Slovakia	Slovakia_Region of Bratislava
Malta	Malta
Bahrain	Bahrain
Vatican	Vatican City
Austria	Austria_Salzburg
Austria	Austria_Upper Austria
Slovakia	Slovakia_Region of Presov
Slovakia	Slovakia_Region of Kosice
Slovakia	Slovakia_Region of Trencin
French Guiana	France_French Guiana
Netherlands	Netherlands_Zeeland
Nauru	Nauru
Bouvet Island	Norway_Bouvet Island
Faroe Islands	Faroe Islands
Falkland Islands	Falkland Islands
Netherlands	Netherlands_Overijssel_Zwolle
Netherlands	Netherlands_North Brabant_Roosendaal
Netherlands	Netherlands_Gelderland_North
Netherlands	Netherlands_Friesland
Poland	Poland_Opole Voivodeship
France_Corsica	France_Corsica
Guinea-Bissau	Guinea-Bissau
Russia_Far Eastern	Russia_Magadan Oblast
Vanuatu	Vanuatu
Niue	Niue
Canada_Northwest Territories	Canada_Northwest Territories_North
Fiji	Fiji
Turks and Caicos Islands	Turks and Caicos Islands
Italy	Italy_Sardinia
Italy	Italy_Aosta Valley
Russia_Far Eastern	Russia_Chukotka Autonomous Okrug
Equatorial Guinea	Equatorial Guinea
Netherlands	Netherlands_Gelderland_Zutphen
Liberia	Liberia
USA_Rhode Island	US_Rhode Island
Palau	Palau
Seychelles	Seychelles
Netherlands	Netherlands_Gelderland_Nijmegen
Ukraine	Ukraine_Ternopil Oblast
France_Champagne-Ardenne	France_Champagne-Ardenne
Belgium	Belgium_Namur
USA_New York	US_New York_New York
Tuvalu	Tuvalu
Gambia	The Gambia
Canada_Manitoba	Canada_Manitoba_Northeast
Jamaica	Jamaica
Netherlands	Netherlands_North Brabant_Eindhoven
Japan_Chubu	Japan_Chubu Region_Shizuoka
Japan_Chubu	Japan_Chubu Region_Ishikawa
Greenland	Greenland
Czech Republic	Czech_Moravskoslezsko
Japan_Chubu	Japan_Chubu Region_Fukui
American Samoa	Samoa
Samoa	Samoa
San Marino	San Marino
Japan_Chubu	Japan_Chubu Region_Gifu
USA_Hawaii	US_Hawaii
Canada_Prince Edward Island	Canada_Prince Edward Island
Liechtenstein	Liechtenstein
Pitcairn Islands	Pitcairn Islands
Netherlands	Netherlands_North Brabant_Uden
South Georgia and the South Sandwich Islands	South Georgia and the South Sandwich Islands
Suriname	Suriname
Bahamas	The Bahamas
Netherlands	Netherlands_North Brabant_Tiburg
Tokelau	Tokelau
Russia_Siberian	Russia_Khakassia
Russia_Far Eastern	Russia_Kamchatka Krai
Russia_Far Eastern	Russia_Amur Oblast
Russia_Far Eastern	Russia_Jewish Autonomous Oblast
Russia_Siberian	Russia_Altai Republic
Iceland	Iceland
France_Picardie	France_Picardy_Aisne
France_Paris & Ile-de-France	France_Ile-de-France_Seine-et-Marne
Belgium	Belgium_Hainaut
France_Bourgogne	France_Burgundy_Yonne
France_Lorraine	France_Lorraine_Meuse
France_Franche-Comte	France_Free County
France_Lorraine	France_Lorraine_Vosges
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Koln
Czech Republic	Czech_Severovychod_Liberecky kraj
France_Provence-Alpes-Cote d'Azur	France_Provence-Alpes-Cote dAzur_Bouches-du-Rhone
Italy	Italy_Trentino-Alto Adige Sudtirol
France_Bourgogne	France_Burgundy_Cote-dOr
Netherlands	Netherlands_North Holland_Amsterdam
France_Poitou-Charentes	France_Poitou-Charentes_Deux-Sevres
France_Rhone-Alpes	France_Rhone-Alpes_Ardeche
Belgium	Belgium_Liege
France_Aquitaine	France_Aquitaine_Pyrenees-Atlantiques
Czech Republic	Czech_Jihozapad_Plzensky kraj
France_Rhone-Alpes	France_Rhone-Alpes_Isere
Greece	Greece_Decentralized Administration of Crete
France_Rhone-Alpes	France_Rhone-Alpes_Drome
Sao Tome and Principe	Sao Tome and Principe
Spain	Spain_Catalonia_Provincia de Girona
France_Languedoc-Roussillon	France_Languedoc-Roussillon_Herault
Poland	Poland_Podlaskie Voivodeship
UK_England	UK_England_North East England
Norway	Norway_Western
France_Nord-Pas-de-Calais	France_Nord-Pas-de-Calais_Pas-de-Calais
USA_Massachusetts	US_Massachusetts_Southeastern
USA_Massachusetts	US_Massachusetts_Central
Guernsey	Guernsey
France_Basse-Normandie	France_Lower Normandy_Manche
Isle of Man	Isle of Man
France_Picardie	France_Picardy_Somme
France_Basse-Normandie	France_Lower Normandy_Calvados
Italy	Italy_Lazio
Vatican	Italy_Lazio
Italy	Italy_Abruzzo
Italy	Italy_Molise
Italy	Italy_Tuscany_Grosseto
Italy	Italy_Umbria
Canada_Nova Scotia	Canada_Nova Scotia_Sydney
Gabon	Gabon
Ukraine	Ukraine_Luhansk Oblast
Japan_Hokkaido	Japan_Hokkaido Region_North
USA_California	US_California_Santa_Clara_Palo Alto
USA_New Jersey	US_New Jersey_North
Ukraine	Ukraine_Zaporizhia Oblast
Canada_British Columbia	Canada_British Columbia_Islands
Ukraine	Ukraine_Volyn Oblast
USA_Massachusetts	US_Massachusetts_Plymouth
USA_Florida	US_Florida_Orlando
USA_California	US_California_LA North
Netherlands	Netherlands_Utrecht_Amersfoort
Germany_Berlin & Brandenburg	Germany_Berlin
Netherlands	Netherlands_South Holland_Den Haag
Netherlands	Netherlands_South Holland_Rotterdam
Netherlands	Netherlands_Overijssel_Enschede
USA_California	US_California_LA
USA_Pennsylvania	US_Pennsylvania_Reading
Canada_British Columbia	Canada_British Columbia_Vancouver
Greece	Greece_Decentralized Administration of Aegean
Romania	Romania_North_East
Ukraine	Ukraine_Chernivtsi Oblast
Romania	Romania_Centre
UK_Northern Ireland	UK_Northern Ireland
Canada_Nunavut	Canada_Nunavut_North
Canada_Quebec	Canada_Quebek_Southeast_Saguenay
Canada_Quebec	Canada_Quebek_North
USA_North Carolina	US_North Carolina_Wilmington
Ireland	Ireland_Northern Counties
Canada_Yukon	Canada_Yukon_Whitehorse
Netherlands	Netherlands_North Holland_Zaandam
Belgium	Belgium_Flemish Brabant
Italy	Italy_Lombardy_Bergamo
Italy	Italy_Veneto_Vicenza
Italy	Italy_Lombardy_Brescia
Italy	Italy_Lombardy_Varese
Italy	Italy_Lombardy_Lodi
Italy	Italy_Lombardy_Pavia
Monaco	Monaco
USA_New Jersey	US_New Jersey_South
Netherlands	Netherlands_South Holland_Leiden
Canada_Manitoba	Canada_Manitoba_South
Singapore	Singapore
Ukraine	Ukraine_Sumy Oblast
Poland	Poland_Pomeranian Voivodeship
UK_England	UK_England_Greater London
USA_Delaware	US_Delaware
Estonia	Estonia_West
Russia_Volga	Russia_Penza Oblast
Ukraine	Ukraine_Odessa Oblast
Moldova	Moldova
Russia_Central	Russia_Oryol Oblast
Russia_Central	Russia_Kursk Oblast
Poland	Poland_Masovian Voivodeship
Poland	Poland_Lublin Voivodeship
Poland	Poland_Warmian-Masurian Voivodeship
Poland	Poland_Lodz Voivodeship
Poland	Poland_Kuyavian-Pomeranian Voivodeship
Poland	Poland_West Pomeranian Voivodeship
Poland	Poland_Lubusz Voivodeship
Germany_Berlin & Brandenburg	Germany_Brandenburg_South
Romania	Romania_South_East
Canada_Newfoundland and Labrador	Canada_Newfoundland_West
Canada_Newfoundland and Labrador	Canada_Newfoundland_North
USA_Illinois	US_Illinois_Chickago
Austria	Austria_Styria
Austria	Austria_Carinthia
Austria	Austria_Burgenland
Poland	Poland_Swietokrzyskie Voivodeship
Poland	Poland_Greater Poland Voivodeship
Romania	Romania_South
Germany_Mecklenburg-Vorpommern	Germany_Mecklenburg-Vorpommern
Germany_Berlin & Brandenburg	Germany_Brandenburg_North
Denmark	Denmark_Capital Region of Denmark
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Bremen_Bremen
Russia_Northwestern	Russia_Leningradskaya Oblast_Karelsky
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Bremen_Munster
UK_England	UK_England_South East_Oxford
Ukraine	Ukraine_Cherkasy Oblast
Germany_Schleswig-Holstein	Germany_Schleswig-Holstein
Germany_Hamburg	Germany_Hamburg_main
Denmark	Denmark_Region of Southern Denmark
Ukraine	Ukraine_Kyiv Oblast
Ukraine	Ukraine_Vinnytsia Oblast
Ukraine	Ukraine_Dnipropetrovsk Oblast
Ukraine	Ukraine_Poltava Oblast
Ukraine	Ukraine_Zhytomyr Oblast
Latvia	Latvia
Belarus	Belarus_Hrodna Region
Lithuania	Lithuania
USA_Florida	US_Florida_Miami
India	India_Chandigarh
Canada_Northwest Territories	Canada_Northwest Territories_East
USA_North Carolina	US_North Carolina_Greensboro
USA_Alaska	US_Alaska
Canada_British Columbia	Canada_British Columbia_Northeast
France_Bretagne	France_Brittany_Cotes-dArmor
Czech Republic	Czech_Stredni Cechy_West
Czech Republic	Czech_Praha
Japan_Hokkaido	Japan_Hokkaido Region_East
UK_Scotland	UK_Scotland_South
France_Bretagne	France_Brittany_Finistere
France_Bretagne	France_Brittany_Morbihan
Canada_Alberta	Canada_Alberta_North
Bolivia	Bolivia
Paraguay	Paraguay
Thailand	Thailand_North
Nigeria	Nigeria
Ecuador	Ecuador
Galapagos Islands	Ecuador
Russia_Far Eastern	Russia_Khabarovsk Krai
Russia_Far Eastern	Russia_Sakha Republic
Russia_Far Eastern	Russia_Sakhalin Oblast
Russia_Far Eastern	Russia_Primorsky Krai
Brazil_Northeast	Brazil_Bahia
India	India_Uttarakhand
Nepal	Nepal_West
Nepal	Nepal_East
India	India_Arunachal Pradesh
China	China_Yunnan
China	China_Tibet Autonomous Region
China	China_Sichuan
Mexico	Mexico_Central_West
Guadalupe Island	Mexico_California
Mexico	Mexico_California
Socorro Island	Mexico_California
Clarion Island	Mexico_California
Mexico	Mexico_North
Czech Republic	Czech_Stredni Cechy_East
UK_England	UK_England_East of England_Norfolk
Argentina	Argentina_Cuyo
Argentina	Argentina_Northwest
USA_Arizona	US_Arizona_Tucson
Canada_Nova Scotia	Canada_Nova Scotia_Halifax
USA_Georgia	US_Georgia_North
USA_North Carolina	US_North Carolina_Asheville
USA_North Carolina	US_North Carolina_Charlotte
USA_Pennsylvania	US_Pennsylvania_Central
USA_Maryland	US_Maryland_Baltimore
USA_Kentucky	US_Kentucky_West
USA_Virginia	US_Virginia_Roanoke
Germany_Rhineland-Palatinate	Germany_Rhineland-Palatinate_Koblenz
Germany_Bavaria	Germany_Free State of Bavaria_Upper Bavaria_Munchen
Germany_Bavaria	Germany_Free State of Bavaria_Upper Bavaria_Ingolstadt
Austria	Austria_Lower Austria_Wien
Germany_Saxony	Germany_Saxony_Dresden
USA_Maryland	US_Maryland_and_DC
USA_District of Columbia	US_Maryland_and_DC
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Recklinghausen
Germany_Baden-Wurttemberg	Germany_Baden-Wurttemberg_Regierungsbezirk Stuttgart_Heilbronn
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Aachen
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Dortmund
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Wesel
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Mulheim
USA_Georgia	US_Georgia_Atlanta
USA_Kentucky	US_Kentucky_East
Somalia	Somalia
India	India_Manipur
India	India_Mizoram
India	India_Nagaland
USA_Illinois	US_Illinois_South
USA_Virginia	US_Virginia_Lynchburg
USA_Virginia	US_Virginia_Richmond
USA_Illinois	US_Illinois_Springfield
USA_Illinois	US_Illinois_Elgin
USA_Indiana	US_Indiana_South
Japan_Kyushu	Japan_Kyushu Region_Fukuoka
Netherlands	Netherlands_North Holland_Alkmaar
Italy	Italy_Basilicata
Luxembourg	Luxembourg
Germany_Saarland	Germany_Saarland
Italy	Italy_Lombardy_Como
Italy	Italy_Piemont_Verbano-Cusio-Ossola
Japan_Chugoku	Japan_Chugoku Region_Shimane
Japan_Chugoku	Japan_Chugoku Region_Yamaguchi
Japan_Chugoku	Japan_Chugoku Region_Hiroshima
Belgium	Belgium_Luxembourg
USA_South Carolina	US_South Carolina_Columbia
USA_South Carolina	US_South Carolina_Florence
Poland	Poland_Lesser Poland Voivodeship
Japan_Tohoku	Japan_Tohoku_Aomori
Japan_Tohoku	Japan_Tohoku_Iwate
Poland	Poland_Silesian Voivodeship
Indonesia	Indonesia_East
Ukraine	Ukraine_Kherson Oblast
Spain	Spain_Catalonia_Provincia de Lleida
France_Midi-Pyrenees	France_Midi-Pyrenees_Haute-Garonne
Philippines	Philippines_Mindanao
Indonesia	Indonesia_West
Congo-Brazzaville	Congo-Brazzaville
Algeria	Algeria_Central
Mauritania	Mauritania
Sahrawi	Sahrawi Arab Democratic Republic
Mali	Mali
Niger	Niger
Tunisia	Tunisia
Algeria	Algeria_Coast
Chile	Chile_South
Chile	Chile_North
Turkmenistan	Turkmenistan
Russia_Northwestern	Russia_Arkhangelsk Oblast_North
Russia_Northwestern	Russia_Nenets Autonomous Okrug
Russia_Northwestern	Russia_Vologda Oblast
Russia_Urals	Russia_Yamalo-Nenets Autonomous Okrug
Russia_Siberian	Russia_Krasnoyarsk Krai
Russia_Northwestern	Russia_Komi Republic
Russia_Northwestern	Russia_Kaliningrad Oblast
Kuwait	Kuwait
Australia	Australia_Northern Territory
Belarus	Belarus_Minsk Region
Ukraine	Ukraine_Rivne Oblast
Belarus	Belarus_Brest Region
Belarus	Belarus_Maglieu Region
Papua New Guinea	Papua New Guinea
Russia_Siberian	Russia_Omsk Oblast
Russia_Urals	Russia_Kurgan Oblast
Russia_Siberian	Russia_Novosibirsk Oblast
Russia_Siberian	Russia_Altai Krai
Kyrgyzstan	Kyrgyzstan
Canada_Ontario	Canada_Ontario_Northeastern_SW
USA_Wisconsin	US_Wisconsin_Milwaukee
China	China_Xinjiang
Russia_Volga	Russia_Saratov Oblast
Russia_Southern	Russia_Volgograd Oblast
USA_North Carolina	US_North Carolina_Wilson
Ukraine	Ukraine_Kharkiv Oblast
Ukraine	Ukraine_Chernihiv Oblast
Poland	Poland_Lower Silesian Voivodeship
Ukraine	Ukraine_Mykolaiv Oblast
USA_Virginia	US_Virginia_Chesapeake
USA_North Carolina	US_North Carolina_Raleigh
Romania	Romania_North_West
USA_California	US_California_Santa_Clara_Santa Cruz
Greece	Greece_Decentralized Administration of Thessaly - Central Greece
Greece	Greece_Decentralized Administration of Attica
Canada_Ontario	Canada_Ontario_Kingston
Brazil_Southeast	Brazil_Southeast Region_Sao Paulo_City
Belarus	Belarus_Homiel Region
Russia_Central	Russia_Lipetsk Oblast
Canada_Ontario	Canada_Ontario_London
Japan_Kyushu	Japan_Kyushu Region_Saga
